ID,Name,Choice1,Choice2,Story,Navigation,Win,Lose,Items,Stranger,Weather
1,Office,3,2,"You are sitting in the office, going through the stuff of your father, found the puzzle figure. You solved the puzzle and found your father's note along with the key, written ""The first Letter of my final destination"". Where would you like to go?","Press 1. to go to the cemetery, Press 2 to go to Home and relax.",0,0,0,0,0
2,Home,,,You get back home and get relaxed.,,0,1,0,0,0
3,Cemetery,2,4,"You went to the cemetery as following the letter, to find what your dad wanted to tell you. What would you like to do now?",Press 1. Cried over there and came back home or Press 2 to go ahead.,0,0,0,0,0
4,Secret Room,2,5,"The wall beside their grave, the secret door opened through it and found the secret room has all the stuff of your dad which are stored in big boxes along with their names. You found the camera with the video of your father telling you to burn all the stuff related to the Japanese Queen- ""Queen of Death-HIMIKO"". You found the diary with all the information and map to find its tomb on an inhabited island.","Press 1. Burn all the stuff, Press 2 to go on the adventurous trip",0,0,0,0,0
5,Pawn shop,2,40,You have no money to start this adventurous trip to the island so you decided to sell your Japanese amulet which your father gave you before disappearing on you.,Press 1. to come back home as it is your dad's last thing remained with you or Press 2 to sell and grab the money he offered.,0,0,0,3,0
6,Harbour,7,2,You got money for selling an item. You found the letter from the person named Liu Ren from whom your father buy the ship to go to the island. You decided to find that guy thinking that he knew something about your dad. You found that person's son and convinced him to go with you on the journey and gave him 5000.,Press 1. to go on the trip or Press 2 get back home,0,0,1,1,0
7,Ship,8,24,You got into the ship and started your journey.,Press 1. to go on trip with him Press 2 to go on the journey alone in another boat,0,0,0,0,0
8,Storm in sea,9,23,There is a storm when you get close to the island and the ship got reckoned by hitting the into the pieces of large stones scattered around the island.,"Press 1. Jump into water and swim to the shore, Press 2 for life boat",0,0,0,0,1
9,Shore,26,10,You fell into the water and get to the shore with the help of the waves and got hit at the back of the head when you stand up.,Press 1. to run and get killed or press 2 to act as you are fainted,0,0,0,0,1
10,Base Camp,11,25,"You get yourself on the single bed and the man named, Michaus, is sitting in front of you along with your backpack and the noise of the explosion of the bombs is coming outside the camp. The man in front of you is trying to find the tomb on the island by exploding the large stones to find the door of the tomb with the help of the number of slaves and also got Liu Ren. He gave you food to get your health back.",Press 1. to follow as he says cause he is in power or Press 2. Try to stole backpack and diary,0,0,0,0,0
11,Another Location,26,12,He got your diary and get know the location of the tomb and going to the another location.,Press 1. Try to run from there or Press 2 Just follow him to make another plan to stop him from opening the tomb,0,0,0,0,0
12,Door to the Tomb,13,26,"By exploring at the new location, he found the door but with the ancient puzzle to unlock the door.",Press 1. Ran from the site with help of the slaves or Press 2 to help him in opening the tomb,0,0,0,0,0
13,Ran from the site,27,14,"Meanwhile, you fought with some of his men and ran from the site with the help of Liu Ren.",Press 1. Run towards the shore or Press 2 to run to the river,0,0,0,0,0
14,On the Bridge,28,15,"Some men are chasing you, there is a bridge above the river made of the tree trunk to get to the other side.",Press 1. Try to cross the narrow bridge or Press 2 to Jump into the river,0,0,0,0,1
15,In the River,16,29,"The water is taking you with the flow and there is a waterfall at one end, but you got the hold of the airplane which is getting rotten in the water. It couldn't hold your weight and started going down",Press 1. Take the risk and get air jacket from the rotting airplane or Press 2 to go with the flow,0,0,0,0,0
16,Forest,31,32,You landed in the middle of nowhere on the island. You got hurt by the spike get into one side of the stomach,Press 1. Just hanging in there with the pain or Press 2. to pull it out yourself,0,0,0,0,1
17,Cave,33,34,"At the night, you got a glimpse of a stranger and you chased him but he got into the cave on the upper side of the mountain and get there with the help of the rope.",Press 1. to go after him or press 2 to be there all alone in the forest,0,0,0,0,0
